,Xudot,Yvdot,Yrdot,Nvdot,Nrdot
wPCC,-0.379,-3.5035349417523864,-0.17300000000000001,-0.163,-0.21678168855983462
Optiwise,-1.8639999999999999,-15.473,-0.537,-0.537,-0.7267535092566891
